first_name,last_name,email,School,Signed_DBA ,phone_number 
Win,Fairleigh,wfairleigh0@mail.ru,Warren Wilson College,No,54-323-5963
Dorrie,Collingwood,dcollingwood1@imdb.com,Tiffin University,Yes,57-792-7284
Koenraad,Tolerton,ktolerton2@washingtonpost.com,University of Ilorin,No,92-199-5355
Magnum,Tresise,mtresise3@dot.gov,Universidade do Oeste Paulista,No,11-461-8886
Lisabeth,Brosi,lbrosi4@mozilla.com,Pamir University,Yes,41-809-3400
Lev,Petcher,lpetcher5@ebay.com,Tilburg University,Yes,76-935-9323
Sigmund,Merwood,smerwood6@plala.or.jp,Universidad del Valle de Toluca,No,63-095-6820
Denni,Dampier,ddampier7@senate.gov,"Islamic Azad University, Kerman",No,46-315-1611
Cristy,Breward,cbreward8@bizjournals.com,Liverpool Hope University College,No,30-614-6345
Cordelia,Lanphier,clanphier9@wix.com,Cambodia University of Specialties,Yes,92-792-1540
Wolfgang,Tweed,wtweeda@diigo.com,Prince Sultan College for Tourism and Hotel Scinces,Yes,30-994-1311
Alfy,Housen,ahousenb@ca.gov,Mekelle University,Yes,31-732-2887
Edy,Trumper,etrumperc@clickbank.net,Saybrook Institute,No,49-424-8195
Ami,Valentim,avalentimd@illinois.edu,Technical Institute of Dubnica in Dubnica nad Váhom,Yes,56-047-1165
Anthony,Lettington,alettingtone@constantcontact.com,Bangladesh University of Business & Technology,No,38-279-8409
Kiel,Axelbey,kaxelbeyf@independent.co.uk,South China University,Yes,90-220-6149
Edithe,Leebetter,eleebetterg@techcrunch.com,Sadat Institute of Higher Education,No,51-024-4731
Frants,Lamas,flamash@wufoo.com,Bifrost School of Business,Yes,26-847-1864
Erroll,Scammell,escammelli@zimbio.com,Dnepropetrovsk National University of Railway Transport,No,52-764-7581
Meggi,Friel,mfrielj@topsy.com,Breyer State University (Virtual University),No,95-462-1466
Jud,Beven,jbevenk@google.fr,Varna Free University,No,03-230-1188
Grantley,Willans,gwillansl@timesonline.co.uk,Kobe University,No,81-031-0448
Webster,Eginton,wegintonm@opensource.org,National Taiwan University of Science and Technology,Yes,38-899-9005
Merrily,Dobbs,mdobbsn@rediff.com,"Fachhochschule Stuttgart, Hochschule für Technik",Yes,06-928-2112
Rodge,Jeste,rjesteo@bloglines.com,Manuel S. Enverga University Foundation,No,78-105-9037
Lynea,Eslemont,leslemontp@msn.com,"Universidad ""Juan Agustín Maza""",Yes,17-373-3148
Gordy,Hirth,ghirthq@prweb.com,Tiraspol State University,No,92-959-7177
Codie,Gain,cgainr@mapy.cz,East Ukrainian National University,No,88-452-9325
Adda,Timson,atimsons@cmu.edu,Universidade Tecnica de Angola,No,20-672-0796
Niki,Everal,neveralt@netscape.com,Harran University,No,02-160-9663
Minnnie,Kelemen,mkelemenu@independent.co.uk,Hiroshima Kokusai Gakuin University,No,81-452-1941
Roxana,Aitken,raitkenv@symantec.com,Universidad Nacional Jorge Basadre Grohmann,No,94-401-3374
Marcello,Ilyenko,milyenkow@virginia.edu,Ecole Supérieure de Commerce de Lille,No,46-485-8024
Sherlock,Reschke,sreschkex@bbc.co.uk,George Wythe College,No,79-976-3826
Carlynn,Onthank,conthanky@apple.com,University of Maastricht,Yes,99-017-4997
Barbi,Treswell,btreswellz@wired.com,"Islamic Azad University, Tehran Science & Research Branch",No,98-848-9594
Maryjane,Nesbitt,mnesbitt10@netscape.com,Tokyo University of Foreign Studies,Yes,38-948-3484
Walker,Bristow,wbristow11@squarespace.com,Universidad de Murcia,No,66-588-8853
Netty,Lavington,nlavington12@gov.uk,Wonkwang University,No,11-724-7766
